sk_id,target,income,education,occupation_id
100083,0,103500,Secondary / secondary special,300
100145,0,202500,Secondary / secondary special,300
100165,0,175500,Secondary / secondary special,
100179,0,202500,Higher education,310
100190,0,162000,Higher education,300
100193,0,225000,Secondary / secondary special,
100289,0,202500,Higher education,310
100295,1,225000,Secondary / secondary special,300
100341,0,76500,Secondary / secondary special,300
100343,0,315000,Secondary / secondary special,320
100363,0,360000,Higher education,330
100366,0,765000,Higher education,310
100371,0,450000,Higher education,330
100376,0,360000,Secondary / secondary special,320
100389,0,247500,Higher education,330
100395,0,225000,Secondary / secondary special,320
100425,0,90000,Higher education,330
100479,0,90000,Secondary / secondary special,300
100508,0,450000,Higher education,310
100557,0,225000,Incomplete higher,340
100567,1,99000,Secondary / secondary special,340
100666,0,135000,Secondary / secondary special,
100678,0,184500,Higher education,350
100716,0,135000,Secondary / secondary special,
100805,0,270000,Higher education,310
100810,0,540000,Higher education,310
100852,0,157500,Secondary / secondary special,310
100879,1,450000,Higher education,340
100920,0,112500,Secondary / secondary special,320
100988,0,180000,Higher education,350
101038,0,180000,Secondary / secondary special,300
101059,0,225000,Higher education,350
101129,0,207000,Secondary / secondary special,
101148,0,135000,Higher education,
101158,0,180000,Higher education,340
101166,0,157500,Secondary / secondary special,300
101216,0,135000,Secondary / secondary special,360
101218,0,522000,Higher education,320
101335,0,135000,Secondary / secondary special,300
101351,0,157500,Higher education,300
101372,0,225000,Higher education,350
101422,0,225000,Secondary / secondary special,300
101452,0,180000,Secondary / secondary special,300
101461,0,810000,Secondary / secondary special,320
101463,0,202500,Secondary / secondary special,320
101476,0,135000,Lower secondary,300
101482,0,211500,Secondary / secondary special,320
101493,0,315000,Secondary / secondary special,320
101508,0,157500,Secondary / secondary special,
101517,0,270000,Secondary / secondary special,320
101586,0,225000,Higher education,310
101600,0,270000,Higher education,370
101608,0,135000,Secondary / secondary special,320
101653,0,450000,Higher education,
101676,0,202500,Incomplete higher,350
101681,0,180000,Secondary / secondary special,360
101713,0,202500,Higher education,310
101730,1,90000,Secondary / secondary special,380
101774,0,135000,Secondary / secondary special,
101804,0,90000,Secondary / secondary special,320
101837,0,450000,Secondary / secondary special,320
101980,1,135000,Secondary / secondary special,360
102011,0,135000,Secondary / secondary special,340
102021,0,157500,Higher education,330
102107,0,225000,Secondary / secondary special,380
102116,0,405000,Higher education,300
102127,0,112500,Higher education,
102142,0,225000,Secondary / secondary special,
102156,0,225000,Higher education,350
102186,0,180000,Higher education,320
102202,0,360000,Higher education,330
102222,0,180000,Secondary / secondary special,310
102243,0,90000,Secondary / secondary special,
102275,0,135000,Secondary / secondary special,300
102276,0,540000,Higher education,310
102311,0,270000,Incomplete higher,310
102356,0,765000,Incomplete higher,
102379,0,112500,Secondary / secondary special,320
102510,0,135000,Incomplete higher,
102543,0,202500,Higher education,340
102573,0,202500,Secondary / secondary special,
102658,0,270000,Higher education,320
102718,0,157500,Higher education,310
102742,0,270000,Secondary / secondary special,340
102802,0,292500,Secondary / secondary special,300
102818,0,211500,Secondary / secondary special,340
102822,0,207000,Secondary / secondary special,360
102823,0,450000,Higher education,
102827,0,450000,Secondary / secondary special,310
102873,0,112500,Secondary / secondary special,
102893,0,180000,Higher education,360
102911,0,135000,Secondary / secondary special,370
102931,0,292500,Secondary / secondary special,
103016,0,157500,Higher education,340
103072,0,90000,Secondary / secondary special,
103079,0,135000,Higher education,330
103098,0,180000,Higher education,
103119,0,225000,Higher education,310
103157,0,180000,Secondary / secondary special,310
103165,0,173250,Secondary / secondary special,
103249,0,189000,Incomplete higher,390
103359,0,135000,Higher education,330
103367,0,225000,Secondary / secondary special,360
103406,0,405000,Higher education,
103414,0,112500,Secondary / secondary special,300
103426,0,301500,Higher education,300
103438,1,135000,Secondary / secondary special,360
103444,0,270000,Higher education,310
103489,0,144000,Secondary / secondary special,300
103499,0,225000,Higher education,330
103519,0,135000,Higher education,
103583,0,270000,Higher education,300
103599,0,180000,Secondary / secondary special,300
103679,0,225000,Higher education,
103715,0,135000,Secondary / secondary special,300
103722,0,247500,Higher education,330
103747,0,810000,Higher education,340
103757,0,292500,Secondary / secondary special,300
103763,0,180000,Higher education,300
103770,0,270000,Secondary / secondary special,300
103796,0,103500,Secondary / secondary special,
103922,0,81000,Secondary / secondary special,
103923,0,135000,Higher education,400
103946,0,166500,Secondary / secondary special,300
103958,0,292500,Higher education,310
103990,0,157500,Secondary / secondary special,340
104010,0,225000,Secondary / secondary special,300
104020,0,225000,Higher education,340
104126,0,202500,Higher education,370
104220,0,315000,Secondary / secondary special,370
104251,0,153000,Secondary / secondary special,300
104264,0,720000,Higher education,310
104290,0,135000,Incomplete higher,
104332,0,382500,Secondary / secondary special,320
104356,0,117000,Secondary / secondary special,320
104375,0,157500,Higher education,
104462,0,315000,Secondary / secondary special,300
104489,0,315000,Higher education,330
104495,0,135000,Higher education,330
104545,0,225000,Secondary / secondary special,320
104671,0,126000,Secondary / secondary special,300
104732,0,247500,Secondary / secondary special,320
104754,0,112500,Higher education,300
104782,0,270000,Secondary / secondary special,
104863,1,265500,Higher education,350
104874,0,112500,Secondary / secondary special,340
104882,0,202500,Secondary / secondary special,350
104889,0,436500,Secondary / secondary special,320
104932,0,117000,Secondary / secondary special,370
104984,0,225000,Secondary / secondary special,310
105029,0,112500,Higher education,330
105045,0,360000,Higher education,350
105052,0,135000,Secondary / secondary special,310
105090,0,90000,Secondary / secondary special,340
105098,0,315000,Secondary / secondary special,340
105118,0,270000,Secondary / secondary special,320
105149,0,315000,Higher education,380
105183,0,180000,Higher education,300
105199,0,90000,Secondary / secondary special,
105200,1,157500,Secondary / secondary special,410
105221,0,607500,Higher education,310
105222,0,378000,Higher education,330
105236,0,135000,Secondary / secondary special,300
105268,0,337500,Secondary / secondary special,
105272,0,117000,Secondary / secondary special,300
105274,0,360000,Higher education,310
105298,0,99000,Secondary / secondary special,370
105361,0,202500,Higher education,310
105413,0,180000,Secondary / secondary special,
105421,0,157500,Secondary / secondary special,350
105590,0,225000,Secondary / secondary special,320
105605,0,135000,Secondary / secondary special,320
105696,0,135000,Secondary / secondary special,340
105703,0,315000,Higher education,310
105753,0,135000,Secondary / secondary special,
105821,0,112500,Secondary / secondary special,300
105860,0,247500,Secondary / secondary special,300
105886,0,225000,Incomplete higher,
105891,0,157500,Higher education,320
105904,0,315000,Secondary / secondary special,310
105905,0,184500,Secondary / secondary special,340
105919,0,180000,Secondary / secondary special,420
105985,0,225000,Secondary / secondary special,330
106004,0,112500,Secondary / secondary special,360
106008,0,202500,Incomplete higher,310
106012,0,157500,Secondary / secondary special,
106112,0,157500,Secondary / secondary special,
106134,0,270000,Secondary / secondary special,300
106148,0,157500,Secondary / secondary special,
106196,0,157500,Secondary / secondary special,300
106209,0,157500,Secondary / secondary special,320
106252,0,144000,Secondary / secondary special,320
106342,0,225000,Secondary / secondary special,
106390,0,90000,Secondary / secondary special,420
106395,0,202500,Secondary / secondary special,340
106423,0,247500,Higher education,310
106430,1,360000,Secondary / secondary special,
106477,0,112500,Higher education,350
106543,0,135000,Secondary / secondary special,380
106547,0,157500,Secondary / secondary special,310
106572,0,54000,Higher education,310
106667,0,360000,Higher education,
106669,1,135000,Secondary / secondary special,
106684,0,405000,Secondary / secondary special,
106702,0,135000,Secondary / secondary special,300
106732,0,450000,Higher education,310
106743,0,135000,Secondary / secondary special,430
106786,0,202500,Higher education,300
106807,0,180000,Secondary / secondary special,310
106838,1,166500,Incomplete higher,340
106863,0,90000,Higher education,
106874,0,63000,Higher education,
106921,0,315000,Secondary / secondary special,300
106979,0,180000,Secondary / secondary special,310
107004,0,135000,Secondary / secondary special,300
107015,0,135000,Secondary / secondary special,
107039,0,121500,Secondary / secondary special,330
107047,0,225000,Secondary / secondary special,310
107170,0,121500,Higher education,
107179,0,112500,Secondary / secondary special,
107189,0,810000,Higher education,310
107207,0,112500,Secondary / secondary special,
107230,0,405000,Incomplete higher,310
107380,0,270000,Secondary / secondary special,380
107456,0,225000,Secondary / secondary special,300
107533,1,157500,Secondary / secondary special,
107567,0,180000,Lower secondary,320
107634,1,225000,Higher education,310
107650,0,202500,Higher education,330
107737,0,81000,Higher education,330
107892,0,675000,Higher education,440
107919,0,180000,Higher education,310
107959,0,225000,Higher education,310
107987,0,180000,Higher education,350
107992,0,234000,Higher education,350
107995,0,90000,Secondary / secondary special,390
108031,0,360000,Secondary / secondary special,
108050,0,180000,Incomplete higher,330
108065,0,157500,Secondary / secondary special,
108133,0,472500,Higher education,
108224,0,1035000,Higher education,370
108227,1,126000,Higher education,330
108234,0,202500,Secondary / secondary special,370
108245,0,135000,Secondary / secondary special,320
108256,0,157500,Secondary / secondary special,300
108281,0,247500,Secondary / secondary special,300
108282,0,135000,Higher education,320
108334,0,135000,Higher education,
108339,0,67500,Lower secondary,
108409,0,283500,Higher education,
108455,0,292500,Secondary / secondary special,300
108586,0,270000,Higher education,310
108590,0,148500,Secondary / secondary special,340
108607,0,450000,Incomplete higher,320
108681,0,360000,Higher education,320
108689,0,234000,Secondary / secondary special,330
108747,0,225000,Secondary / secondary special,300
108764,0,270000,Incomplete higher,320
108797,0,162000,Secondary / secondary special,370
108847,0,130050,Incomplete higher,330
108867,0,630000,Higher education,330
108876,0,238500,Higher education,300
109017,1,180000,Secondary / secondary special,320
109083,1,405000,Higher education,
109150,0,171000,Higher education,330
109171,0,216000,Higher education,360
109185,0,99000,Higher education,
